N;Tiempo
100;0.00038
200;0.00149
300;0.00354
400;0.00648
500;0.01000
600;0.01459
700;0.02021
800;0.02681
900;0.03422
1000;0.04300
1100;0.05230
1200;0.06598
1300;0.07582
1400;0.08885
1500;0.10228
1600;0.11499
1700;0.13077
1800;0.14585
1900;0.16721
2000;0.21494
2100;0.21970
2200;0.24376
2300;0.24972
2400;0.27708
2500;0.28840
2600;0.30819
2700;0.33387
2800;0.35616
2900;0.38621
3000;0.41941
3100;0.45752
3200;0.48761
3300;0.52433
3400;0.67095
3500;0.56534
3600;0.60828
3700;0.63443
3800;0.67155
3900;0.72535
4000;0.78093
4100;0.82829
4200;0.82148
4300;0.87593
4400;0.97067
4500;1.06545
4600;1.20360
4700;1.15459
4800;1.11094
4900;1.15345
5000;1.16163
5100;1.21236
5200;1.30723
5300;1.48951
5400;1.35983
5500;1.41855
5600;1.46843
5700;1.53681
5800;1.56657
5900;1.64037
6000;1.69053
6100;1.79563
6200;1.81297
6300;1.87393
6400;1.94408
6500;2.39786
6600;2.05871
6700;2.18467
6800;2.18024
6900;2.24579
7000;2.29920
7100;2.38168
7200;2.82392
7300;2.65871
7400;2.94477
7500;2.81219
7600;2.72545
7700;2.92802
7800;3.02531
7900;2.93998
8000;3.01739
8100;3.18175
8200;3.18661
8300;3.42057
8400;3.32854
8500;3.63274
8600;3.47599
8700;3.66811
8800;3.79780
8900;4.03034
9000;3.99712
9100;4.15329
9200;4.18753
9300;4.07306
9400;4.17738
9500;4.56039
9600;4.41775
9700;4.81061
9800;5.27970
9900;4.97240
10000;4.79413
