N;Tiempo
100;0.00020
200;0.00061
300;0.00149
400;0.00267
500;0.00432
600;0.00640
700;0.00896
800;0.01188
900;0.01514
1000;0.01926
1100;0.02320
1200;0.02728
1300;0.03210
1400;0.03760
1500;0.04371
1600;0.04859
1700;0.05413
1800;0.06145
1900;0.06870
2000;0.07685
2100;0.08433
2200;0.09437
2300;0.10295
2400;0.11216
2500;0.12096
2600;0.13023
2700;0.18575
2800;0.16019
2900;0.16208
3000;0.17496
3100;0.19702
3200;0.21617
3300;0.23246
3400;0.25731
3500;0.23488
3600;0.24886
3700;0.26316
3800;0.33823
3900;0.32038
4000;0.31006
4100;0.33456
4200;0.42470
4300;0.41770
4400;0.56093
4500;0.46417
4600;0.54844
4700;0.48533
4800;0.48084
4900;0.47450
5000;0.48196
5100;0.50307
5200;0.52161
5300;0.54068
5400;0.56548
5500;0.59475
5600;0.62715
5700;0.74861
5800;0.64295
5900;0.66261
6000;0.97606
6100;0.89668
6200;0.80679
6300;0.90623
6400;0.80566
6500;0.86348
6600;0.83182
6700;1.06397
6800;1.04297
6900;1.05398
7000;0.99137
7100;1.05261
7200;1.04811
7300;1.07010
7400;1.10082
7500;1.14141
7600;1.14423
7700;1.13455
7800;1.22462
7900;1.22041
8000;1.29875
8100;1.35282
8200;1.59378
8300;1.51300
8400;1.34665
8500;1.43833
8600;1.66514
8700;1.46968
8800;1.59574
8900;1.51144
9000;1.57544
9100;1.75951
9200;2.03309
9300;1.75131
9400;1.68691
9500;1.72418
9600;1.76396
9700;1.80588
9800;1.94745
9900;1.87591
10000;1.94268
