N;Tiempo
100;0.00016
200;0.00027
300;0.00041
400;0.00058
500;0.00075
600;0.00091
700;0.00106
800;0.00125
900;0.00145
1000;0.00162
1100;0.00183
1200;0.00202
1300;0.00216
1400;0.00233
1500;0.00256
1600;0.00273
1700;0.00289
1800;0.00308
1900;0.00329
2000;0.00348
2100;0.00370
2200;0.00394
2300;0.00410
2400;0.00428
2500;0.00450
2600;0.00465
2700;0.00491
2800;0.00507
2900;0.00524
3000;0.00548
3100;0.00570
3200;0.00590
3300;0.00610
3400;0.00630
3500;0.00643
3600;0.00670
3700;0.00686
3800;0.00711
3900;0.00729
4000;0.00769
4100;0.00771
4200;0.00799
4300;0.00821
4400;0.00844
4500;0.00864
4600;0.00882
4700;0.00906
4800;0.00920
4900;0.00941
5000;0.00970
5100;0.00995
5200;0.01010
5300;0.01024
5400;0.01052
5500;0.01105
5600;0.01178
5700;0.01273
5800;0.01142
5900;0.01288
6000;0.01462
6100;0.01476
6200;0.01303
6300;0.01301
6400;0.01290
6500;0.01300
6600;0.01314
6700;0.01353
6800;0.01401
6900;0.01420
7000;0.01442
7100;0.01476
7200;0.01479
7300;0.01488
7400;0.01511
7500;0.01545
7600;0.01565
7700;0.01580
7800;0.01621
7900;0.01632
8000;0.01647
8100;0.01664
8200;0.01711
8300;0.01736
8400;0.01743
8500;0.01728
8600;0.01773
8700;0.01797
8800;0.01826
8900;0.01901
9000;0.01883
9100;0.01916
9200;0.02189
9300;0.01985
9400;0.01982
9500;0.01983
9600;0.02017
9700;0.02014
9800;0.02056
9900;0.02142
10000;0.02178
