N;Tiempo
100;0.00019
200;0.00032
300;0.00040
400;0.00051
500;0.00064
600;0.00073
700;0.00079
800;0.00096
900;0.00108
1000;0.00127
1100;0.00126
1200;0.00137
1300;0.00143
1400;0.00155
1500;0.00167
1600;0.00157
1700;0.00170
1800;0.00189
1900;0.00187
2000;0.00216
2100;0.00212
2200;0.00229
2300;0.00233
2400;0.00236
2500;0.00235
2600;0.00246
2700;0.00277
2800;0.00274
2900;0.00284
3000;0.00284
3100;0.00300
3200;0.00294
3300;0.00317
3400;0.00327
3500;0.00331
3600;0.00330
3700;0.00351
3800;0.00347
3900;0.00385
4000;0.00368
4100;0.00371
4200;0.00392
4300;0.00414
4400;0.00422
4500;0.00389
4600;0.00409
4700;0.00433
4800;0.00435
4900;0.00421
5000;0.00448
5100;0.00445
5200;0.00468
5300;0.00455
5400;0.00497
5500;0.00575
5600;0.00483
5700;0.00550
5800;0.00547
5900;0.00483
6000;0.00529
6100;0.00560
6200;0.00531
6300;0.00551
6400;0.00529
6500;0.00574
6600;0.00555
6700;0.00715
6800;0.00604
6900;0.00634
7000;0.00638
7100;0.00639
7200;0.00709
7300;0.00681
7400;0.00948
7500;0.01106
7600;0.01031
7700;0.00869
7800;0.00811
7900;0.00752
8000;0.00923
8100;0.01065
8200;0.00816
8300;0.00818
8400;0.00737
8500;0.00830
8600;0.00819
8700;0.00758
8800;0.00853
8900;0.00909
9000;0.00831
9100;0.00833
9200;0.00828
9300;0.00824
9400;0.00841
9500;0.00793
9600;0.00780
9700;0.00894
9800;0.00913
9900;0.01151
10000;0.01031
