N;Tiempo
100;0.00018
200;0.00063
300;0.00148
400;0.00275
500;0.00439
600;0.00636
700;0.00876
800;0.01174
900;0.01470
1000;0.01790
1100;0.02178
1200;0.02953
1300;0.03061
1400;0.03525
1500;0.04002
1600;0.04612
1700;0.05180
1800;0.05806
1900;0.07223
2000;0.07528
2100;0.08076
2200;0.09299
2300;0.10129
2400;0.10959
2500;0.11547
2600;0.14575
2700;0.16528
2800;0.18005
2900;0.15256
3000;0.15972
3100;0.17175
3200;0.18702
3300;0.19499
3400;0.20605
3500;0.21865
3600;0.23137
3700;0.24705
3800;0.25626
3900;0.26983
4000;0.28732
4100;0.29992
4200;0.31340
4300;0.32893
4400;0.34713
4500;0.37130
4600;0.38912
4700;0.43048
4800;0.46826
4900;0.42816
5000;0.44587
5100;0.48888
5200;0.57966
5300;0.51948
5400;0.54159
5500;0.58051
5600;0.62758
5700;0.65097
5800;0.60316
5900;0.64331
6000;0.66682
6100;0.68829
6200;0.71492
6300;0.92723
6400;0.79428
6500;0.99419
6600;0.82126
6700;0.82214
6800;0.82659
6900;0.84870
7000;0.94300
7100;1.07204
7200;0.92695
7300;0.95566
7400;0.97919
7500;1.00291
7600;1.03068
7700;1.06025
7800;1.08568
7900;1.11841
8000;1.18406
8100;1.31341
8200;1.29763
8300;1.23094
8400;1.26314
8500;1.29064
8600;1.32308
8700;1.35358
8800;1.38579
8900;1.42166
9000;1.44803
9100;1.49696
9200;1.72001
9300;1.63981
9400;1.58008
9500;1.61840
9600;1.64756
9700;1.68303
9800;1.74956
9900;1.82720
10000;1.83339
